date,dom,lab,np_,gross,net
2012-11-15 00:00:00+09:00,15,15,4,-0.09999820745284771,-0.10133154078618105
2012-11-20 00:00:00+09:00,20,20,4,0.11057668497819195,0.10924335164485861
2012-11-30 00:00:00+09:00,30,月末,4,0.42671464110885515,0.4253813077755218
2012-12-05 00:00:00+09:00,5,5,4,0.04639137715342634,0.045058043820093006
2012-12-10 00:00:00+09:00,10,10,4,-0.0817352861087084,-0.08306861944204173
2012-12-15 00:00:00+09:00,15,15,4,0.021762111879522483,0.02042877854618915
2012-12-20 00:00:00+09:00,20,20,4,-0.4168133733271573,-0.41814670666049064
2012-12-31 00:00:00+09:00,31,月末,4,0.1383883387276963,0.13705500539436297
2013-01-05 00:00:00+09:00,5,5,4,0.0049459476957086634,0.0036126143623753304
2013-01-10 00:00:00+09:00,10,10,4,0.22006419003857136,0.21873085670523804
2013-01-15 00:00:00+09:00,15,15,4,0.29503507140252183,0.2937017380691885
2013-01-25 00:00:00+09:00,25,25,4,0.4656591397120602,0.46432580637872684
2013-01-31 00:00:00+09:00,31,月末,4,-0.07309436543739833,-0.07442769877073167
2013-02-05 00:00:00+09:00,5,5,4,0.14021913601832137,0.13888580268498804
2013-02-15 00:00:00+09:00,15,15,4,-0.2642691924817142,-0.26560252581504756
2013-02-20 00:00:00+09:00,20,20,4,0.37206813980735776,0.3707348064740244
2013-02-25 00:00:00+09:00,25,25,4,-0.21448843037815413,-0.21582176371148745
2013-02-28 00:00:00+09:00,28,月末,4,0.9014228046100026,0.9000894712766693
2013-03-05 00:00:00+09:00,5,5,4,0.32855875683588387,0.3272254235025505
2013-03-15 00:00:00+09:00,15,15,4,-0.024428845950258404,-0.025762179283591737
2013-03-20 00:00:00+09:00,20,20,4,-0.13279038717227964,-0.13412372050561297
2013-03-25 00:00:00+09:00,25,25,4,0.47546928702101865,0.4741359536876853
2013-04-05 00:00:00+09:00,5,5,4,0.6929152165036534,0.6915818831703201
2013-04-10 00:00:00+09:00,10,10,4,-0.380662792775216,-0.3819961261085493
2013-04-15 00:00:00+09:00,15,15,4,0.15309167261664536,0.15175833928331203
2013-04-20 00:00:00+09:00,20,20,4,-0.09055636603421402,-0.09188969936754736
2013-04-25 00:00:00+09:00,25,25,4,0.13079487952817326,0.12946154619483993
2013-04-30 00:00:00+09:00,30,月末,4,-0.020957605216548325,-0.022290938549881657
2013-05-10 00:00:00+09:00,10,10,4,0.6979048110420938,0.6965714777087605
2013-05-15 00:00:00+09:00,15,15,4,0.0015063708421692024,0.00017303750883586907
2013-05-20 00:00:00+09:00,20,20,4,0.10130423138950406,0.09997089805617072
2013-05-25 00:00:00+09:00,25,25,4,0.1989591258853063,0.19762579255197296
2013-05-31 00:00:00+09:00,31,月末,4,0.07937740642778301,0.07804407309444968
2013-06-05 00:00:00+09:00,5,5,4,0.0539446124074916,0.05261127907415827
2013-06-10 00:00:00+09:00,10,10,4,0.22763695299057862,0.2263036196572453
2013-06-15 00:00:00+09:00,15,15,4,-0.333456241481106,-0.33478957481443933
2013-06-20 00:00:00+09:00,20,20,4,-0.23699887751911786,-0.23833221085245118
