ym,n,ret,win,cum
2012-11,3,0.4332931186341994,2,0.4332931186341994
2012-12,5,-0.2986734983418873,3,0.13461962029231211
2013-01,5,0.905943316744797,4,1.0405629370371092
2013-02,5,0.9282857909091466,3,1.9688487279462559
2013-03,4,0.6414754774010312,2,2.610324205347287
2013-04,6,0.4766250046224937,3,3.086949209969781
2013-05,5,1.0723852789201898,5,4.159334488889971
2013-06,5,-0.0896319127178587,3,4.069702576172112
2013-07,6,0.7081837878378041,4,4.777886364009916
2013-08,5,-0.3708807153370943,2,4.407005648672822
2013-09,5,-0.07931881613761976,2,4.3276868325352025
2013-10,5,0.06773874821596679,3,4.395425580751169
2013-11,5,0.10724644403324526,2,4.502672024784415
2013-12,4,0.2767411518751417,3,4.779413176659556
2014-01,5,-0.2500445000915654,3,4.529368676567991
2014-02,6,-1.1543690896188594,0,3.3749995869491314
2014-03,6,-0.1662770471514699,2,3.2087225397976615
2014-04,5,0.42238176457366416,4,3.6311043043713256
2014-05,5,0.01892586045778223,4,3.650030164829108
2014-06,5,-0.5540388291308824,0,3.0959913356982254
2014-07,5,-0.13763488288665376,1,2.9583564528115716
2014-08,4,0.10317444686844143,4,3.061530899680013
2014-09,6,-0.04138027680356848,4,3.0201506228764448
2014-10,5,0.38907662163470896,4,3.4092272445111536
2014-11,5,-0.026508976919301874,2,3.3827182675918515
2014-12,5,-0.03775573992825318,3,3.3449625276635984
2015-01,5,0.7846144516882945,3,4.129576979351893
2015-02,5,-0.7872981190041157,1,3.3422788603477773
2015-03,5,0.15675522451715423,4,3.4990340848649315
2015-04,5,0.34143810399248004,4,3.8404721888574116
2015-05,4,0.22866922377528126,3,4.069141412632693
2015-06,6,0.14725681133902185,5,4.216398223971715
2015-07,5,0.6813339450936866,3,4.897732169065401
2015-08,6,-0.21902395729089288,3,4.6787082117745085
2015-09,5,0.41376056149585383,4,5.092468773270363
2015-10,5,-0.019781364467458984,2,5.072687408802904
2015-11,5,-0.0519060506546217,2,5.020781358148282
2015-12,4,0.788937300002156,2,5.809718658150438
2016-01,4,-0.2772159130400504,0,5.532502745110388
2016-02,6,0.15517424981971417,3,5.687676994930102
2016-03,5,0.19427253224929758,3,5.881949527179399
2016-04,5,-0.8564855362714348,1,5.025463990907965
2016-05,5,0.22412741022589036,4,5.249591401133856
2016-06,5,1.0500745967093958,3,6.299665997843252
2016-07,4,0.1354473340030598,2,6.435113331846312
2016-08,6,0.31541972829564857,5,6.75053306014196
2016-09,5,0.010333460562119534,3,6.760866520704079
2016-10,6,0.5293815300825258,4,7.290248050786605
2016-11,5,0.32381964127156854,3,7.614067692058174
2016-12,5,1.667626631768617,3,9.281694323826791
2017-01,5,-0.6366609174555705,1,8.64503340637122
2017-02,5,0.4105228767382638,4,9.055556283109485
2017-03,5,1.1552115336725504,4,10.210767816782036
2017-04,5,0.5690717993818004,5,10.779839616163837
2017-05,6,-0.03861020660139193,3,10.741229409562445
2017-06,5,0.602165760756259,4,11.343395170318704
2017-07,6,-0.030471607361923586,3,11.312923562956781
2017-08,5,0.9193914988119187,4,12.2323150617687
2017-09,5,-0.028069424010896668,2,12.204245637757804
2017-10,5,-0.11068940559017874,2,12.093556232167625
2017-11,5,-0.08510327626093178,2,12.008452955906693
2017-12,3,-0.1996376765782364,0,11.808815279328456
2018-01,6,0.06005351384434612,3,11.868868793172803
2018-02,5,0.3264345665643008,2,12.195303359737103
2018-03,5,-0.3398337779157414,2,11.855469581821362
2018-04,5,0.50654088549947,4,12.362010467320832
2018-05,5,0.12374683207351173,3,12.485757299394344
2018-06,5,-0.4181993017559845,2,12.067557997638358
2018-07,5,0.47623021443172686,3,12.543788212070085
2018-08,5,-0.60097955388169,2,11.942808658188396
2018-09,5,0.24898287622971343,3,12.191791534418108
2018-10,6,0.29840174988816603,4,12.490193284306274
2018-11,5,0.49727806937227764,4,12.987471353678552
2018-12,6,0.09200930792276873,3,13.079480661601322
2019-01,5,0.06628936281476912,3,13.145770024416091
2019-02,5,0.12094260646737726,3,13.266712630883468
2019-03,4,0.04591656917905412,3,13.312629200062522
2019-04,6,0.23497714035107778,4,13.5476063404136
2019-05,5,-0.34470503438799394,2,13.202901306025606
2019-06,5,-0.43255061907311954,2,12.770350686952487
2019-07,6,0.09386544059767875,4,12.864216127550165
2019-08,5,-0.022616237777654154,3,12.84159988977251
2019-09,5,0.20912172331158035,2,13.050721613084091
2019-10,5,0.22522804257114817,3,13.27594965565524
2019-11,5,0.5440075017021365,5,13.819957157357376
2019-12,5,-0.1776036290678414,1,13.642353528289535
2020-01,5,0.30782679563573423,3,13.950180323925268
2020-02,6,0.5909813657581638,5,14.541161689683433
2020-03,5,1.9041109988203653,5,16.4452726885038
2020-04,5,0.8162374532479331,5,17.26151014175173
2020-05,4,0.5545517247062692,3,17.816061866458
2020-06,6,-0.25822374688280225,2,17.557838119575198
2020-07,5,0.5884878739993707,3,18.146325993574568
2020-08,6,0.060078632627446844,3,18.206404626202016
2020-09,5,0.07443167284882848,3,18.280836299050844
2020-10,5,0.426711431337514,3,18.707547730388356
2020-11,5,-0.4891287278433112,3,18.218419002545044
2020-12,5,0.02536173329912498,2,18.24378073584417
2021-01,4,0.19889028569865128,3,18.44267102154282
2021-02,5,0.7109150909548382,4,19.15358611249766
2021-03,6,0.46358621058586424,4,19.617172323083523
2021-04,5,0.2817347518754641,3,19.898907074958988
2021-05,6,0.5549335851861261,5,20.453840660145115
2021-06,5,0.13476033637970714,4,20.58860099652482
2021-07,5,0.08133524983326348,2,20.669936246358084
2021-08,5,0.32317374407980143,5,20.993109990437887
2021-09,5,-0.06834337974698584,3,20.924766610690902
2021-10,4,0.6186556035841578,3,21.54342221427506
2021-11,6,0.324199043806114,4,21.867621258081176
2021-12,5,-0.060342788638202034,3,21.807278469442974
2022-01,6,0.9140143473555709,4,22.721292816798545
2022-02,5,0.62764785771574,3,23.348940674514285
2022-03,1,0.09766519112972867,1,23.446605865644013
