ym,n,yen,cum
2012-11,3,17890.0,17890.0
2012-12,5,-12750.0,5140.0
2013-01,5,40720.0,45860.0
2013-02,5,42870.0,88730.0
2013-03,4,30300.0,119030.0
2013-04,6,23280.0,142310.0
2013-05,5,51380.0,193690.0
2013-06,5,-830.0,192860.0
2013-07,6,33700.0,226560.0
2013-08,5,-15240.0,211320.0
2013-09,5,-4090.0000000000005,207230.0
2013-10,5,1150.0,208380.0
2013-11,5,5820.0,214200.0
2013-12,4,10750.0,224950.0
2014-01,5,-13420.0,211530.0
2014-02,6,-53830.0,157700.0
2014-03,6,-7460.0,150240.0
2014-04,5,20090.0,170330.0
2014-05,5,2120.0,172450.0
2014-06,5,-27950.0,144500.0
2014-07,5,-6390.0,138110.0
2014-08,4,5530.0,143640.0
2014-09,6,-1900.0,141740.0
2014-10,5,19620.0,161360.0
2014-11,5,-2850.0,158510.0
2014-12,5,-490.0,158020.0
2015-01,5,40030.0,198050.0
2015-02,5,-43980.0,154070.0
2015-03,5,6820.0,160890.0
2015-04,5,18540.0,179430.0
2015-05,4,15310.0,194740.0
2015-06,6,8730.0,203470.0
2015-07,5,35500.0,238970.0
2015-08,6,-6800.0,232170.0
2015-09,5,21590.0,253760.0
2015-10,5,-3670.0,250090.0
2015-11,5,-1870.0,248220.0
2015-12,4,34880.0,283100.0
2016-01,4,-11320.0,271780.0
2016-02,6,8560.0,280340.0
2016-03,5,8650.0,288990.0
2016-04,5,-40480.0,248510.0
2016-05,5,9730.0,258240.0
2016-06,5,45030.0,303270.0
2016-07,4,8470.0,311740.0
2016-08,6,12900.0,324640.0
2016-09,5,2240.0,326880.0
2016-10,6,22850.0,349730.0
2016-11,5,11510.0,361240.0
2016-12,5,78580.0,439820.0
2017-01,5,-27960.0,411860.0
2017-02,5,18340.0,430200.0
2017-03,5,51900.0,482100.0
2017-04,5,24360.0,506460.0
2017-05,6,-2310.0,504150.0
2017-06,5,26730.0,530880.0
2017-07,6,0.0,530880.0
2017-08,5,41460.0,572340.0
2017-09,5,-240.0,572100.0
2017-10,5,-4530.0,567570.0
2017-11,5,-3550.0,564020.0
2017-12,3,-9740.0,554280.0
2018-01,6,5410.0,559690.0
2018-02,5,14420.0,574110.0
2018-03,5,-16470.0,557640.0
2018-04,5,24680.0,582320.0
2018-05,5,5360.0,587680.0
2018-06,5,-19210.0,568470.0
2018-07,5,21080.0,589550.0
2018-08,5,-26050.0,563500.0
2018-09,5,12050.0,575550.0
2018-10,6,15410.0,590960.0
2018-11,5,20040.0,611000.0
2018-12,6,6350.0,617350.0
2019-01,5,4530.0,621880.0
2019-02,5,6270.0,628150.0
2019-03,4,2230.0,630380.0
2019-04,6,10720.0,641100.0
2019-05,5,-15100.0,626000.0
2019-06,5,-18550.0,607450.0
2019-07,6,3880.0,611330.0
2019-08,5,-700.0000000000001,610630.0
2019-09,5,10580.0,621210.0
2019-10,5,10930.0,632140.0
2019-11,5,23830.0,655970.0
2019-12,5,-8060.0,647910.0
2020-01,5,12320.0,660230.0
2020-02,6,26630.0,686860.0
2020-03,5,75590.00000000007,762450.0000000001
2020-04,5,34250.0,796700.0000000001
2020-05,4,22130.0,818830.0000000001
2020-06,6,-8550.0,810280.0000000001
2020-07,5,24490.0,834770.0000000001
2020-08,6,2970.0,837740.0000000001
2020-09,5,3829.9999999999995,841570.0000000001
2020-10,5,20220.0,861790.0000000001
2020-11,5,-21450.0,840340.0000000001
2020-12,5,1390.0,841730.0000000001
2021-01,4,9300.0,851030.0000000001
2021-02,5,33650.0,884680.0000000001
2021-03,6,22050.0,906730.0000000001
2021-04,5,11360.0,918090.0000000001
2021-05,6,26080.0,944170.0000000001
2021-06,5,6490.0,950660.0000000001
2021-07,5,3380.0,954040.0000000001
2021-08,5,14310.0,968350.0000000001
2021-09,5,-3650.0,964700.0000000001
2021-10,4,30530.0,995230.0000000001
2021-11,6,15050.0,1010280.0000000001
2021-12,5,-1670.0,1008610.0000000001
2022-01,6,40670.0,1049280.0
2022-02,5,30710.0,1079990.0
2022-03,1,4830.0,1084820.0
