date,yen,n,win,cum
2012-11,-6030.00000000053,10,5,-6030.00000000053
2012-12,12859.999999999964,14,8,6829.999999999433
2013-01,21480.00000000044,18,11,28309.999999999873
2013-02,63859.999999999534,16,9,92169.9999999994
2013-03,1210.0000000001914,17,6,93379.99999999959
2013-04,36979.99999999952,22,11,130359.99999999911
2013-05,1639.999999998714,23,11,131999.99999999782
2013-06,66969.99999999985,20,13,198969.99999999767
2013-07,7570.000000000167,23,12,206539.99999999785
2013-08,20700.00000000094,22,13,227239.99999999878
2013-09,11169.999999999964,21,10,238409.99999999875
2013-10,38049.999999999374,22,13,276459.99999999814
2013-11,2119.9999999999873,17,9,278579.99999999814
2013-12,24489.999999999884,15,10,303069.999999998
2014-01,81080.00000000009,18,14,384149.99999999814
2014-02,3689.999999999425,16,6,387839.99999999756
2014-03,-4379.999999999642,17,7,383459.9999999979
2014-04,-1419.9999999992283,22,10,382039.99999999866
2014-05,-9130.000000001794,22,10,372909.99999999686
2014-06,-21730.00000000038,21,8,351179.9999999965
2014-07,2409.999999999262,23,15,353589.99999999575
2014-08,8790.000000000824,21,14,362379.99999999657
2014-09,14439.99999999976,22,12,376819.99999999633
2014-10,-16170.000000000739,22,12,360649.9999999956
2014-11,16139.999999999192,16,10,376789.99999999476
2014-12,18129.99999999818,16,9,394919.99999999296
2015-01,32879.99999999912,16,10,427799.9999999921
2015-02,-15789.9999999988,16,8,412009.9999999933
2015-03,10120.000000000202,18,10,422129.9999999935
2015-04,9019.999999999749,22,13,431149.99999999325
2015-05,38660.000000000495,21,16,469809.9999999937
2015-06,19460.000000000047,22,14,489269.9999999938
2015-07,95430.00000000118,23,20,584699.999999995
2015-08,39990.000000000866,21,11,624689.9999999958
2015-09,74340.00000000114,22,15,699029.999999997
2015-10,13530.000000000722,21,12,712559.9999999977
2015-11,12499.999999999432,16,10,725059.9999999971
2015-12,30470.000000000593,18,14,755529.9999999977
2016-01,19209.99999999978,16,10,774739.9999999974
2016-02,45780.00000000003,16,11,820519.9999999974
2016-03,7489.999999998785,20,11,828009.9999999963
2016-04,48879.99999999997,21,15,876889.9999999963
2016-05,57700.00000000012,22,15,934589.9999999964
2016-06,-50109.99999999995,22,10,884479.9999999964
2016-07,-18050.00000000043,21,12,866429.9999999959
2016-08,27100.000000000055,23,15,893529.9999999959
2016-09,28689.99999999931,22,12,922219.9999999952
2016-10,29810.0000000002,20,12,952029.9999999955
2016-11,-27140.000000000215,18,6,924889.9999999952
2016-12,22819.99999999931,18,10,947709.9999999945
2017-01,13130.000000000406,17,10,960839.9999999949
2017-02,27800.000000000724,16,10,988639.9999999956
2017-03,35990.00000000114,20,12,1024629.9999999967
2017-04,-24149.999999999247,20,11,1000479.9999999974
2017-05,-25749.999999999905,23,12,974729.9999999976
2017-06,4049.9999999991815,22,13,978779.9999999967
2017-07,25530.00000000035,20,11,1004309.9999999971
2017-08,-3139.9999999995052,20,10,1001169.9999999976
2017-09,54550.00000000003,18,14,1055719.9999999977
2017-10,28579.999999998683,21,17,1084299.9999999963
2017-11,4190.000000000308,18,7,1088489.9999999965
2017-12,22060.000000000317,16,10,1110549.9999999967
2018-01,32290.000000001368,17,11,1142839.9999999981
2018-02,-17000.000000000735,16,9,1125839.9999999974
2018-03,-25860.000000000684,19,9,1099979.9999999967
2018-04,27810.000000000404,21,16,1127789.9999999972
2018-05,-3500.000000001107,23,13,1124289.999999996
2018-06,43880.00000000012,21,15,1168169.9999999963
2018-07,33690.00000000101,22,14,1201859.9999999972
2018-08,13709.999999999643,23,12,1215569.9999999967
2018-09,-2190.0000000012565,20,11,1213379.9999999956
2018-10,11129.999999999874,22,13,1224509.9999999953
2018-11,79.99999999986767,18,9,1224589.999999995
2018-12,-34040.00000000058,14,3,1190549.9999999944
2019-01,-64610.00000000016,17,7,1125939.9999999942
2019-02,-10879.999999999225,16,4,1115059.9999999949
2019-03,11410.000000000013,17,10,1126469.9999999949
2019-04,-9710.000000000015,22,9,1116759.9999999949
