pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
USDJPY,0,1,1,,1586,0.0001891551071946393,0.0005168623626782304,825,0.00896969696970235,0.02158099912202686,2411,0.0031936955620137444
USDJPY,0,1,-1,,1586,-0.4001891551071953,-1.0935084719339354,825,-0.4089696969697029,-0.9839769059145406,2411,-0.4031936955620144
USDJPY,1,1,1,,1586,-0.19930643127364298,-0.6349070757491749,825,-0.0578181818181765,-0.1912963662938498,2411,-0.1508917461634149
USDJPY,1,1,-1,,1586,-0.20069356872635752,-0.6393259165168166,825,-0.3421818181818239,-1.1321376143555488,2411,-0.24910825383658555
USDJPY,2,1,1,,1583,-0.1438408085912847,-0.43035749660302425,825,-0.2282424242424195,-0.8865697129001948,2408,-0.1727574750830564
USDJPY,2,1,-1,,1583,-0.25615919140871596,-0.7664030077844638,825,-0.17175757575758052,-0.6671637191607207,2408,-0.22724252491694405
USDJPY,3,1,1,,1579,-0.0723875870804343,-0.23510634275261794,825,-0.13151515151515533,-0.4057257283403037,2404,-0.09267886855241633
USDJPY,3,1,-1,,1579,-0.32761241291956616,-1.064046466368521,825,-0.268484848484845,-0.8282787910357005,2404,-0.30732113144758405
USDJPY,4,1,1,,1578,-0.012991128010145306,-0.04192796862414078,821,-0.2693057247259495,-1.112894962920084,2399,-0.10070862859525377
USDJPY,4,1,-1,,1578,-0.387008871989855,-1.2490444116463804,821,-0.13069427527405061,-0.5400887811909435,2399,-0.29929137140474643
USDJPY,5,1,1,,1524,0.24960629921260713,1.1082136943594532,822,-0.3663017031630243,-1.6303473406296352,2346,0.033802216538792534
USDJPY,5,1,-1,,1524,-0.6496062992126074,-2.8841523591373175,822,-0.033698296836975415,-0.14998545777293215,2346,-0.4338022165387926
USDJPY,6,1,1,,1536,0.8372395833333686,3.7206875038129614,810,-0.143950617283974,-0.7737345157178012,2346,0.49846547314579503
USDJPY,6,1,-1,,1536,-1.2372395833333687,-5.4982850172986435,810,-0.2560493827160256,-1.3762653392781392,2346,-0.8984654731457951
USDJPY,7,1,1,,1580,0.04126582278479643,0.16585261897584436,821,0.81595615103531,2.2823823958233884,2401,0.3061640982923648
USDJPY,7,1,-1,,1580,-0.44126582278479676,-1.773503772239165,821,-1.2159561510353099,-3.401257420138081,2401,-0.7061640982923649
USDJPY,8,1,1,,1580,-0.39158227848100197,-1.3764124213491888,821,0.2512789281364257,0.8956156439268799,2401,-0.1717617659308528
USDJPY,8,1,-1,,1580,-0.008417721518998287,-0.029588306455420262,821,-0.6512789281364258,-2.3213072457959036,2401,-0.22823823406914742
USDJPY,9,1,1,,1580,-0.48481012658230754,-1.3876276941373638,821,0.17624847746648334,0.48608954312267555,2401,-0.25876718034155066
USDJPY,9,1,-1,,1580,0.08481012658230683,0.2427442702538613,821,-0.5762484774664838,-1.589281014867705,2401,-0.14123281965844997
USDJPY,10,1,1,,1579,-0.5134895503483069,-1.501718813652327,821,-1.5277710109622407,-3.7699001369767853,2400,-0.8604583333333232
USDJPY,10,1,-1,,1579,0.1134895503483062,0.3319043061253921,821,1.1277710109622405,2.7828673657233556,2400,0.46045833333332287
USDJPY,11,1,1,,1580,-1.1967721518987446,-3.438004951397237,821,-0.16358099878193944,-0.6122208084596195,2401,-0.8434818825489332
USDJPY,11,1,-1,,1580,0.7967721518987443,2.2889123873890727,821,-0.23641900121806061,-0.8848254573496177,2401,0.4434818825489331
USDJPY,12,1,1,,1581,-0.4337760910815812,-1.2643837139662588,821,-0.13203410475030877,-0.6237118198475564,2402,-0.33064113238966836
USDJPY,12,1,-1,,1581,0.03377609108158102,0.0984515752781779,821,-0.26796589524969117,-1.2658357967385219,2402,-0.06935886761033175
USDJPY,13,1,1,,1583,-0.4683512318382606,-1.6330076580179294,824,-0.20934466019412457,-0.8739932716544528,2407,-0.37968425425838187
USDJPY,13,1,-1,,1583,0.06835123183826029,0.2383213226294746,824,-0.19065533980587557,-0.7959672056636737,2407,-0.020315745741618367
USDJPY,14,1,1,,1583,-0.018572331017086784,-0.06970394506819517,824,-0.5928398058252645,-2.5909739478897698,2407,-0.2151641046946682
USDJPY,14,1,-1,,1583,-0.3814276689829136,-1.431538844629376,824,0.19283980582526442,0.8427958246053544,2407,-0.1848358953053321
USDJPY,15,1,1,,1585,0.26447949526814646,0.8494094370388164,824,0.4696601941747281,1.9930054857649757,2409,0.3346616853466119
