pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
USDJPY,0,1,2411,-0.4031936955620141,-1.4422411580373518,1586,-1.093508471933935,825,-0.9839769059145406,46.20489423475736
USDJPY,1,1,2411,-0.24910825383658516,-1.078785092245897,1586,-0.6393259165168158,825,-1.1321376143555477,48.23724595603484
USDJPY,2,1,2408,-0.22724252491694383,-0.9599128131337431,1583,-0.7664030077844632,825,-0.6671637191607204,46.84385382059801
USDJPY,3,1,2404,-0.3073211314475838,-1.3317386787691756,1579,-1.06404646636852,825,-0.8282787910356998,46.297836938435935
USDJPY,4,1,2399,-0.2992913714047463,-1.3605943997376735,1578,-1.24904441164638,821,-0.5400887811909424,47.47811588161734
USDJPY,5,1,2346,-0.4338022165387924,-2.609649878814817,1524,-2.884152359137316,822,-0.149985457772932,46.248934356351235
USDJPY,6,1,2346,-0.8984654731457948,-5.580978581617485,1536,-5.4982850172986435,810,-1.3762653392781385,42.88150042625746
USDJPY,7,1,2401,-0.7061640982923647,-3.4543617321906006,1580,-1.7735037722391642,821,-3.4012574201380796,42.81549354435652
USDJPY,8,1,2401,-0.22823823406914723,-1.0846753327781185,1580,-0.02958830645541925,821,-2.321307245795903,47.73011245314452
USDJPY,9,1,2401,-0.1412328196584495,-0.5406148065036782,1580,0.24274427025386183,821,-1.5892810148677035,48.68804664723032
USDJPY,10,1,2400,0.46045833333332314,1.741642150907423,1579,0.33190430612539285,821,2.7828673657233565,51.083333333333336
USDJPY,11,1,2401,0.4434818825489334,1.7970363638599216,1580,2.2889123873890744,821,-0.8848254573496172,50.31236984589754
USDJPY,12,1,2402,-0.06935886761033153,-0.2925223356328745,1581,0.09845157527817842,821,-1.2658357967385214,47.87676935886761
USDJPY,13,1,2407,-0.020315745741618155,-0.09878492778541612,1583,0.23832132262947517,824,-0.7959672056636733,47.2787702534275
USDJPY,14,1,2407,-0.18483589530533182,-0.9627241780921856,1583,-1.431538844629375,824,0.8427958246053545,48.35895305359369
USDJPY,15,1,2409,-0.7346616853466118,-3.3374219756604564,1585,-2.1340601600411886,824,-3.690407573899799,46.4508094645081
USDJPY,16,1,2411,-0.6113645790128603,-2.4331989016951185,1587,-2.6054699377796458,824,-0.316065696195228,47.36623807548735
USDJPY,17,1,2411,-0.024802986312731302,-0.10639527138423867,1587,0.16860516308670648,824,-0.5495798152974148,47.53214433844878
USDJPY,18,1,2411,-0.35014516798010437,-1.666727855403269,1587,-1.2538827803405075,824,-1.1805534316972075,47.6980506014102
USDJPY,19,1,2411,-0.6223973454997871,-3.37452627879393,1587,-2.8293711980352563,824,-1.878185537649469,46.57818332642057
USDJPY,20,1,2411,-0.5430941518042326,-2.408123400820038,1587,-1.9546530617899207,824,-1.4880738729313707,47.32476150974699
USDJPY,21,1,2411,-0.46366652841144773,-1.5192652987246933,1587,-1.2259858870908444,824,-0.9387431168544065,45.62422231439237
USDJPY,22,1,2409,0.036488169364868164,0.11484256680746402,1586,0.640458077459244,823,-0.9260939888541191,50.31133250311333
USDJPY,23,1,2410,0.033236514522844145,0.10639104447373775,1587,0.4971627255064907,823,-0.648535692965728,48.50622406639004
USDJPY,0,2,2411,-0.46159270012443226,-1.2889748497580447,1586,-0.8432777985959807,825,-1.1885766348553477,46.41227706345914
USDJPY,1,2,2411,-0.30215678141850033,-0.9101972734014762,1586,-0.6428255349604095,825,-0.8129858408615462,47.61509746992949
USDJPY,2,2,2408,-0.3831810631229209,-1.152799990983128,1583,-0.9895986991477395,825,-0.6101580755997745,47.176079734219265
USDJPY,3,2,2404,-0.4174708818635625,-1.3229889425346766,1579,-1.188620797421813,825,-0.580922252651608,47.1297836938436
USDJPY,4,2,2399,-0.7675698207586404,-2.761323303460252,1578,-3.015236679485396,821,0.08141671068282022,47.39474781158816
USDJPY,5,2,2346,-0.5757033248081955,-2.1583559512806634,1524,-3.663226408741648,822,2.3124468733859294,47.9539641943734
USDJPY,6,2,2345,-1.2392324093816665,-4.5907170478118005,1536,-4.72912642785704,809,-1.3318359068042671,43.070362473347544
USDJPY,7,2,2401,-0.7449396084964551,-2.7504231360482887,1580,-0.7418702259197767,821,-4.445622385515485,45.522698875468556
USDJPY,8,2,2401,-0.187088713036222,-0.5622193570645914,1580,0.5679105385899247,821,-2.1817247179571324,47.85506039150354
USDJPY,9,2,2401,0.5122448979591911,1.3762425560320002,1580,0.7849515077880325,821,1.4059735969465426,50.81216159933361
USDJPY,10,2,2400,1.094833333333324,2.9521435687895217,1579,2.1881490791801568,821,2.2352880558224313,52.0
USDJPY,11,2,2401,0.5700957934194054,1.6032370614743467,1580,1.9953870429257121,821,-0.9070500058715486,50.56226572261557
USDJPY,12,2,2402,0.11686094920896185,0.3649136666672841,1581,0.6890459006367069,821,-0.792478070329368,47.50208159866778
USDJPY,13,2,2407,-0.01130037390943669,-0.038760550047556984,1583,-0.2976827622089829,824,0.5836931160371316,47.694225176568345
USDJPY,14,2,2407,-0.7249272953884269,-2.4553687238065365,1583,-2.0530658277674565,824,-1.4729391071191797,46.69713336103033
USDJPY,15,2,2409,-1.1535907015359033,-3.4819555084824882,1585,-2.9737991186094734,824,-1.8441980203037465,46.4508094645081
USDJPY,16,2,2411,-0.43678971381170795,-1.2788049856167707,1587,-1.3466884404562403,824,-0.18071143152792518,47.11737868104521
USDJPY,17,2,2411,-0.1836167565325605,-0.5779202958789162,1587,-0.2669434730852534,824,-0.7360938103560044,48.44462878473663
USDJPY,18,2,2411,-0.7769805060141081,-2.7718020186493915,1587,-2.296934126101792,824,-1.583169867212738,46.868519286603075
USDJPY,19,2,2411,-0.9696391538780537,-3.464318739950037,1587,-2.9568803745931307,824,-1.824910389290051,45.74865201161344
USDJPY,20,2,2411,-0.8117378681045211,-2.126124359651352,1587,-1.7920022584394462,824,-1.1564649023443567,46.329323931978436
USDJPY,21,2,2411,-0.22206553297387532,-0.49146224062924526,1587,-0.04269107871320811,824,-0.9859771601541273,48.112816258813766
USDJPY,22,2,2409,0.26479867164800225,0.5910999874946691,1586,1.1214182495698304,823,-0.7229186263859566,49.19053549190536
USDJPY,23,2,2410,-0.1792116182572645,-0.4257600854762781,1587,0.009859663399065985,823,-0.8501605351380817,47.88381742738589
USDJPY,0,3,2411,-0.5146412277063473,-1.1960930290118508,1586,-0.8513809233827279,825,-1.020194434111644,46.70261302364164
USDJPY,1,3,2411,-0.4558689340522595,-1.1099143885241267,1586,-0.8774309986579613,825,-0.7407783925024228,47.241808378266285
USDJPY,2,3,2408,-0.4847176079734243,-1.222161546741573,1583,-1.1425625650884106,825,-0.4367777060745611,47.71594684385382
USDJPY,3,3,2404,-0.8827787021630611,-2.519108575496649,1579,-2.695834732566733,825,-0.16104653855909548,46.54742096505824
USDJPY,4,3,2399,-0.8992080033347208,-2.643010858353622,1578,-3.835856911292244,821,2.2805543676564017,47.519799916631925
USDJPY,5,3,2345,-0.8412366737739884,-2.5314313727794593,1524,-3.723199190483649,821,0.969672611423717,45.07462686567164
USDJPY,6,3,2345,-1.3614498933902037,-4.35285354174733,1536,-3.6364926544088516,809,-2.399388232734826,43.582089552238806
USDJPY,7,3,2401,-0.7037900874635303,-1.911757583932202,1580,-0.019394660878427807,821,-3.934858098708947,45.64764681382757
USDJPY,8,3,2401,0.4663890045814187,1.099132976838906,1580,0.977584074873608,821,0.502943046124771,49.31278633902541
USDJPY,9,3,2401,1.1475635152020072,2.580908923708576,1580,2.3009979261503934,821,1.1688347304379219,49.68763015410246
USDJPY,10,3,2400,1.2202916666666588,2.6838429352400723,1579,2.0997958674528414,821,1.895162253050783,51.916666666666664
USDJPY,11,3,2401,0.7551853394418724,1.8326790745633383,1580,2.21194658047068,821,-0.7097221074103133,49.35443565181175
USDJPY,12,3,2402,0.12023313905078598,0.31796305469709485,1581,0.2268369108271214,821,0.28624255829383005,48.62614487926727
USDJPY,13,3,2407,-0.5513917739925319,-1.4972059322634732,1583,-1.1437090649744195,824,-1.167449881063204,45.90776900706273
USDJPY,14,3,2407,-1.1449106771915027,-2.998029697639577,1583,-2.8959131363421613,824,-0.8668646090652284,47.569588699626095
USDJPY,15,3,2409,-0.9804068078040736,-2.4589297360881326,1585,-2.014851369312391,824,-1.475995833594002,46.86591946865919
USDJPY,16,3,2411,-0.595603484031537,-1.4722704609753012,1587,-1.4392696745913525,824,-0.41914257441267777,47.739527167150555
USDJPY,17,3,2411,-0.6104520945665641,-1.6770828111605776,1587,-1.282100754768808,824,-1.1617040197775965,45.66569888013273
USDJPY,18,3,2411,-1.1242223143923746,-3.173818278184099,1587,-2.690160275897588,824,-1.6985353789346143,46.95147241808378
USDJPY,19,3,2411,-1.2382828701783422,-2.974214140585528,1587,-2.569351002355068,824,-1.5013157563511192,45.58274574865201
USDJPY,20,3,2411,-0.5701368726669486,-1.1196239126671528,1587,-0.6362153457528946,824,-1.1974416618566173,48.527581916217336
USDJPY,21,3,2411,0.0009124844463112543,0.0016410906657895316,1587,0.47100893562229573,824,-0.8207047284937821,48.44462878473663
USDJPY,22,3,2409,0.056745537567446096,0.10662867777089166,1586,0.6767879460139261,823,-0.9120417647306793,48.484848484848484
USDJPY,23,3,2410,-0.23697095435684595,-0.4910468612881453,1587,0.0011764105579045196,823,-1.0240345489678904,48.29875518672199
USDJPY,0,4,2411,-0.6683533803401066,-1.3449741446623011,1586,-1.0326525631441639,825,-0.9596177227395668,46.53670676068021
USDJPY,1,4,2411,-0.5648278722521817,-1.224631919003081,1586,-1.0710262845758585,825,-0.6019148505724173,47.32476150974699
USDJPY,2,4,2408,-0.9554817275747512,-2.282510802908829,1583,-2.448957710140246,825,-0.08676109837931069,46.38704318936877
USDJPY,3,4,2404,-1.0245840266223012,-2.6161675765307018,1579,-3.5939507040134218,825,1.7135316177912747,46.92179700499168
USDJPY,4,4,2398,-1.0842368640533664,-2.760435797221179,1578,-3.7730741873914457,820,0.9729420227108512,44.91242702251876
USDJPY,5,4,2345,-1.008997867803846,-2.750899114617374,1524,-3.1472311013892518,821,-0.04079555813758545,45.07462686567164
USDJPY,6,4,2345,-1.3319829424306933,-3.378119296380949,1536,-2.472609833263161,809,-2.45812492806726,45.28784648187633
USDJPY,7,4,2401,-0.050312369845889424,-0.11036944751877353,1580,0.4852472300997278,821,-1.0742753159899487,47.93835901707622
USDJPY,8,4,2401,1.101707621824235,2.21131358707109,1580,2.2827393196225594,821,0.3784080157522507,50.39566847147022
USDJPY,9,4,2401,1.2748021657642745,2.4790368636128677,1580,2.27129690114151,821,0.9955669706415247,51.14535610162433
USDJPY,10,4,2400,1.4036249999999686,2.826783093076817,1579,2.3037410095339457,821,1.8203813235974662,52.45833333333333
USDJPY,11,4,2401,0.7610162432319854,1.6907044868590908,1580,1.7480329306052196,821,0.180440571984719,50.93710953769263
USDJPY,12,4,2402,-0.4228143213988441,-0.9454285689857603,1581,-0.5516417861694332,821,-1.2105779813112427,47.751873438801
USDJPY,13,4,2407,-0.9713751557956073,-2.2044034377163446,1583,-2.062062742386383,824,-0.7823291305866761,46.86331533028667
USDJPY,14,4,2407,-0.971832156211038,-2.170660646266493,1583,-2.093467268205787,824,-0.6499805632418401,46.61404237640216
USDJPY,15,4,2409,-1.138397675383985,-2.495120654974205,1585,-2.023885196699142,824,-1.5433368363754711,46.16023246160233
USDJPY,16,4,2411,-1.0224388220655405,-2.30924385608205,1587,-2.1766924502570455,824,-0.8186183603422736,47.36623807548735
USDJPY,17,4,2411,-0.9576939029448305,-2.2391844173935462,1587,-1.8043688192033298,824,-1.3805298701102895,46.70261302364164
USDJPY,18,4,2411,-1.392866030692663,-3.0057169214060484,1587,-2.575910559834076,824,-1.5528568461430547,47.034425549564496
USDJPY,19,4,2411,-0.9966818747407695,-1.8638193451507148,1587,-1.320929471377519,824,-1.4961450001605632,47.86395686437163
USDJPY,20,4,2411,-0.34715885524676193,-0.5793098902671909,1587,-0.08171871018951973,824,-1.0209809680522477,48.5690584819577
USDJPY,21,4,2411,-0.20779759435918838,-0.3337382382367273,1587,0.19445411367041707,824,-0.9835137268925424,48.36167565325591
USDJPY,22,4,2409,0.002822748028221279,0.004873287783253015,1586,0.6078053431630128,823,-1.0497149356511626,48.27729348277294
USDJPY,23,4,2410,-0.293070539419085,-0.5527577409566251,1587,-0.13204508509902188,823,-0.9373970613778085,47.17842323651452
USDJPY,0,6,2411,-1.2480713396930752,-2.2690556006940135,1586,-2.2202739442108634,825,-0.5992345173439332,45.167980091248445
USDJPY,1,6,2411,-1.178432185815022,-2.328997925343021,1586,-3.002497985515856,825,1.1848544327013424,47.44919120696806
USDJPY,2,6,2407,-1.2818861653510571,-2.603417231133946,1583,-3.294101450124755,824,0.7884937948654143,45.65849605317823
USDJPY,3,6,2403,-1.291260923845195,-2.784999677427413,1579,-3.0891319744070196,824,-0.08100552912057274,44.06991260923846
USDJPY,4,6,2398,-1.21759799833192,-2.5443259407165706,1578,-2.583362768580824,820,-0.5533288741923873,46.45537948290242
USDJPY,5,6,2345,-0.3207249466951025,-0.6215568606103951,1524,-1.6051944622176975,821,1.468947797780581,46.95095948827292
USDJPY,6,6,2345,-0.06660980810235338,-0.11948052417192992,1536,-0.019859795207377986,809,-0.2102345698249327,47.462686567164184
USDJPY,7,6,2401,0.7122448979591939,1.193918202047416,1580,1.8574824938978192,821,-1.079662617461886,49.02124114952103
USDJPY,8,6,2401,1.412369845897516,2.3545772240312863,1580,2.4629825992950534,821,0.26337621586993,50.52061640982923
USDJPY,9,6,2401,1.4643898375676916,2.5377313400403905,1580,2.132628972501697,821,1.4285719305249553,51.02040816326531
USDJPY,10,6,2400,0.8646249999999895,1.5027459216031613,1579,1.1671581469808032,821,1.1038812007802925,50.458333333333336
USDJPY,11,6,2401,-0.1989171178675605,-0.3662138895281898,1580,-0.05996333464377448,821,-0.8419241708058152,49.02124114952103
USDJPY,12,6,2402,-0.6858451290591362,-1.2163105908789094,1581,-1.0068312880591122,821,-0.7406113928684771,48.45961698584513
USDJPY,13,6,2407,-0.9559617781470945,-1.7425458864411691,1583,-1.5812222511114922,824,-0.7319734616467026,48.525135022850016
USDJPY,14,6,2407,-1.5546738678853171,-2.9624595534222484,1583,-2.75001430726389,824,-1.1238083665855794,45.90776900706273
USDJPY,15,6,2409,-1.9113325031133264,-3.5230126492281326,1585,-2.96171304830909,824,-1.9548808535648337,45.579078455790786
USDJPY,16,6,2411,-1.6383243467440953,-2.83878330161892,1587,-2.6346279245916224,824,-1.099602724704253,46.41227706345914
USDJPY,17,6,2411,-0.9847366238075463,-1.6087491750674037,1587,-1.0701197729075334,824,-1.3917703431790653,47.86395686437163
USDJPY,18,6,2411,-0.9282870178349036,-1.410320399423846,1587,-0.8485333507932025,824,-1.3601776204516434,48.154292824554126
USDJPY,19,6,2411,-0.9824139361260825,-1.440108235005187,1587,-0.8597654281733402,824,-1.3747874054545932,48.19576939029449
USDJPY,20,6,2411,-0.6069265864786368,-0.8662080102354492,1587,-0.275626120928854,824,-1.240767626086079,48.693488179178765
USDJPY,21,6,2411,-0.34442140190791887,-0.4850456886454151,1587,0.06177632180763977,824,-1.1198302153776682,48.07133969307341
USDJPY,22,6,2409,-0.18331257783312757,-0.2712010678171963,1586,0.18620741579327718,823,-0.91155973128318,47.53009547530095
USDJPY,23,6,2410,-0.5558091286307052,-0.890283898750097,1587,-0.5628016627542715,823,-0.8523908558994129,47.26141078838174
USDJPY,0,8,2410,-1.5901244813277997,-2.6544039200565055,1586,-2.990196036569775,824,0.10835984612402647,45.601659751037346
USDJPY,1,8,2410,-1.4775933609958534,-2.6122113938844826,1586,-2.762478436702955,824,-0.24370186745932682,46.016597510373444
USDJPY,2,8,2407,-1.4036975488159404,-2.44197837094024,1583,-2.441600214710221,824,-0.5529732013835652,45.78313253012048
USDJPY,3,8,2403,-0.6285892634207264,-1.068968006736895,1579,-1.9270387193989742,824,1.2947426089543228,46.650020807324175
USDJPY,4,8,2398,0.07385321100918144,0.12209396147571518,1578,-0.4953781845274538,820,1.1742166806301468,48.45704753961635
USDJPY,5,8,2345,0.4601705756929637,0.7157099556774684,1524,0.24930075388691877,821,1.06730409197946,48.57142857142857
USDJPY,6,8,2345,0.20204690831553473,0.3105662138491421,1536,0.4805500070886316,809,-0.2612207110049712,47.33475479744136
USDJPY,7,8,2401,0.9018325697626113,1.3876463123847056,1580,1.8077998202694583,821,-0.5205070173992643,48.52144939608497
USDJPY,8,8,2401,0.8746355685131135,1.3041683827669293,1580,1.4849039761244873,821,-0.14159392234339824,49.7292794668888
USDJPY,9,8,2401,0.5016243231986751,0.7557428196344107,1580,0.5794565328225837,821,0.55088146189918,49.5210329029571
USDJPY,10,8,2400,0.606249999999981,0.9192666484809524,1579,0.5500232482869325,821,1.0354547341473341,49.916666666666664
USDJPY,11,8,2401,-0.1953769262807349,-0.3030834339470757,1580,0.0429500858058035,821,-0.8535772726408373,49.02124114952103
USDJPY,12,8,2402,-1.2634054954204983,-2.0019194318108933,1581,-1.6877770349046886,821,-1.1186293630255202,47.16902581182348
USDJPY,13,8,2407,-1.7285417532197924,-2.7755483331754673,1583,-2.485818632052098,824,-1.234805261403629,47.07104279185708
USDJPY,14,8,2407,-2.1633153302866446,-3.327794741992881,1583,-3.0523412364317943,824,-1.3429603615908126,46.19858745326132
USDJPY,15,8,2409,-1.9289746782897512,-2.7317256019162346,1585,-2.1045261980083363,824,-1.8731178350837072,47.40556247405562
USDJPY,16,8,2411,-1.1737453338863362,-1.572606811433839,1587,-1.194877657633989,824,-1.0753397275872822,48.44462878473663
USDJPY,17,8,2411,-0.9704686851928593,-1.2867358695763575,1587,-0.6977803000618209,824,-1.345399356303777,48.61053504769805
USDJPY,18,8,2411,-1.1880547490667783,-1.5771171617040882,1587,-0.9371262322633636,824,-1.52176500148573,47.573620904189134
USDJPY,19,8,2411,-1.1190377436748131,-1.472622215412851,1587,-0.8602588820234944,824,-1.4784571554242072,47.9883865615927
USDJPY,20,8,2411,-0.8258399004562356,-1.0517837903248504,1587,-0.5268432327968887,824,-1.2218372350394648,48.23724595603484
USDJPY,21,8,2411,-0.5884695147241787,-0.7549995298808497,1587,-0.3116799320215876,824,-1.0159132246603626,48.02986312733306
USDJPY,22,8,2409,-0.7525114155251188,-1.0667649232540373,1586,-0.8480568511128278,823,-0.682532732090516,46.699875466998755
USDJPY,23,8,2410,-1.1663070539419125,-1.797590105369013,1587,-2.145880482054998,823,0.33952104294422897,47.13692946058091
USDJPY,0,12,2410,-0.41950207468879924,-0.5453513352921847,1586,-0.8704352782439576,824,0.5693276193496447,46.51452282157676
USDJPY,1,12,2410,-0.004896265560161475,-0.006364324002578923,1586,-0.3674778177658327,824,0.7644160039240929,47.84232365145228
USDJPY,2,12,2407,0.23099293726629022,0.30397581185807016,1583,-0.1372950220373511,824,1.013408547228423,48.068134607395095
USDJPY,3,12,2403,0.22438618393674528,0.30232912604802076,1579,-0.2614073145085672,824,1.2145217711013947,48.18976279650437
USDJPY,4,12,2398,-0.2501668056713862,-0.3330095090185145,1578,-0.6502720978030345,820,0.5661781002139155,48.62385321100918
USDJPY,5,12,2345,-0.3524093816631187,-0.46473702854867527,1524,-0.9119647000932419,821,0.7910468240622911,48.656716417910445
USDJPY,6,12,2345,-0.5218763326226175,-0.6698835249001666,1536,-0.5085986614662871,809,-0.4858553938992714,46.95095948827292
USDJPY,7,12,2401,-0.056892961266143335,-0.07139897994319128,1580,0.4766620986300903,821,-1.1906764911338101,48.43815077051229
USDJPY,8,12,2401,0.03831736776342048,0.047392630595403946,1580,0.24642313062650395,821,-0.4232261087426288,48.771345272802996
USDJPY,9,12,2401,-0.2579758433985829,-0.3154914647056775,1580,-0.26573427710682496,821,-0.17622241783098563,47.93835901707622
USDJPY,10,12,2400,-0.5707916666666799,-0.6915829473050439,1579,-0.7748227109362107,821,0.017313875034655597,48.875
USDJPY,11,12,2401,-0.9871720116618219,-1.1504379099684963,1580,-0.6058997490591618,821,-1.4014509842041292,47.98000832986256
USDJPY,12,12,2402,-1.3857618651123962,-1.5564173272709458,1581,-1.0884749421957565,821,-1.2894834806608364,47.543713572023314
USDJPY,13,12,2407,-1.7380141254674024,-1.9449614199171272,1583,-1.4786953284240967,824,-1.3453623631766736,47.2787702534275
USDJPY,14,12,2407,-1.9680099709181331,-2.205144806997611,1583,-1.7128217763461284,824,-1.4546092106376498,47.36186123805567
USDJPY,15,12,2409,-2.0662930676629263,-2.28373034772645,1585,-1.613985212657819,824,-1.7993700806549655,46.82440846824408
USDJPY,16,12,2411,-1.6524263790958094,-1.8197212751011287,1587,-1.384767572324403,824,-1.2443156725264803,47.781003732890916
USDJPY,17,12,2411,-1.3511406055578496,-1.5119918472932736,1587,-0.9915753032756028,824,-1.31627660445951,48.19576939029449
USDJPY,18,12,2411,-1.9778515138946497,-2.3012464921475537,1587,-1.9085610382020357,824,-1.3119935799233213,46.90999585234343
USDJPY,19,12,2411,-1.9669846536706705,-2.3150175949194276,1587,-2.3291020887709455,824,-0.5244450354013062,47.44919120696806
USDJPY,20,12,2410,-1.7576763485477107,-2.059213644332504,1587,-1.9772361473129658,823,-0.6540752837949069,46.72199170124481
USDJPY,21,12,2410,-1.519419087136926,-1.7881971742549632,1587,-1.5379920724172578,823,-0.9231328045162664,46.80497925311203
USDJPY,22,12,2408,-1.2169019933554734,-1.4861162086796071,1586,-1.146308353022402,822,-1.0234433236062073,46.926910299003325
USDJPY,23,12,2409,-0.834288086342881,-1.051879429314294,1587,-1.3819944244626186,822,0.39854673753285835,46.990452469904525
EURJPY,0,1,2412,-0.31152570480928055,-0.910307590273409,1587,-1.5410685885820692,825,0.9566672619161725,47.885572139303484
EURJPY,1,1,2412,-0.9974295190713023,-3.4765678133614717,1587,-3.145342513378128,825,-1.4822840560913326,47.92703150912106
EURJPY,2,1,2408,-0.37541528239203914,-1.406018495171979,1583,-0.7258826670963352,825,-1.8104719742589952,46.553156146179404
EURJPY,3,1,2405,-0.49692307692309184,-2.018417059869444,1580,-2.3558923154895193,825,0.07945480537103265,47.06860706860707
