pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
USDJPY,0,1,2411,-0.3311036176633684,-1.184371854583538,1586,-0.8965238462425391,825,-0.8105289161895148,46.49523019493986
USDJPY,1,1,2411,-0.17701817593793964,-0.7665927014352696,1586,-0.4096770273331164,825,-0.8936214674587238,48.61053504769805
USDJPY,2,1,2408,-0.1551524470182982,-0.6553915114979161,1583,-0.5507166128161717,825,-0.3871418087832175,47.59136212624585
USDJPY,3,1,2404,-0.23523105354893817,-1.0193451097331208,1579,-0.829906398339052,825,-0.605880086212958,46.963394342762065
USDJPY,4,1,2399,-0.22720129350610083,-1.032869093775197,1578,-1.0163786629996252,821,-0.24217946399554655,48.103376406836176
USDJPY,5,1,2346,-0.3617121386401469,-2.1759732956175353,1524,-2.5640834674196853,822,0.17087536753295315,46.80306905370844
USDJPY,6,1,2346,-0.8263753952471495,-5.133178201163479,1536,-5.17791715924959,810,-0.9887811967063062,43.691389599317986
USDJPY,7,1,2401,-0.6340740203937194,-3.1017167776171397,1580,-1.4837645300576634,821,-3.1996079509838435,43.398583923365265
USDJPY,8,1,2401,-0.15614815617050173,-0.7420757260399066,1580,0.22380844852704662,821,-2.064361699200447,48.18825489379425
USDJPY,9,1,2401,-0.06914274175980387,-0.26466645676272066,1580,0.44908110828543735,821,-1.3904581170296526,48.89629321116202
USDJPY,10,1,2400,0.5325484112319689,2.014316374048461,1579,0.5427343535618502,821,2.960755539143795,51.37500000000001
USDJPY,11,1,2401,0.5155719604475788,2.0891531256829166,1580,2.496007818519331,821,-0.6150200025494567,50.52061640982923
USDJPY,12,1,2402,0.0027312102883138233,0.011518931034610606,1581,0.3085819220345735,821,-0.9252917095562962,48.29308909242298
USDJPY,13,1,2407,0.05177433215702731,0.25175170669677405,1583,0.4896789390353007,824,-0.4949982534198662,47.90195263813876
USDJPY,14,1,2407,-0.1127458174066863,-0.587240504431677,1583,-1.16097707049418,824,1.1578615673260577,48.732862484420444
USDJPY,15,1,2409,-0.6625716074479663,-3.0099310842680445,1585,-1.9025337333067067,824,-3.3844929520023923,47.03196347031963
USDJPY,16,1,2411,-0.5392745011142146,-2.146284179469429,1587,-2.3897016581247166,824,-0.11309266545278909,47.573620904189134
USDJPY,17,1,2411,0.04728709158591422,0.20284343501299404,1587,0.3985169994898496,824,-0.3223963539350939,47.90543343011199
USDJPY,18,1,2411,-0.2780550900814588,-1.3235714964993202,1587,-0.9965219818084221,824,-0.9360363479588516,48.320199087515554
USDJPY,19,1,2411,-0.5503072676011418,-2.9836668638747783,1587,-2.5404309682379194,824,-1.5848160967474838,47.07590211530485
USDJPY,20,1,2411,-0.471004073905587,-2.08847016394032,1587,-1.7209059078299995,824,-1.2374504031017812,47.6980506014102
USDJPY,21,1,2411,-0.39157645051280177,-1.2830525315253676,1587,-1.051357761431612,824,-0.761547600226577,45.7901285773538
USDJPY,22,1,2409,0.10857824726351394,0.34173829030741504,1586,0.8109509456642378,823,-0.7652471488139477,50.60190950601909
USDJPY,23,1,2410,0.10532659242149017,0.33715346929293766,1587,0.6726065036717288,823,-0.4909047644972209,48.79668049792531
USDJPY,0,2,2411,-0.31741254432714167,-0.886358875530537,1586,-0.5465673753465622,825,-0.8832212123453493,47.241808378266285
